date,open,close,high,low,volume,isOpen
2018/6/13,49.72,48.68,49.73,48.53,4919789,1
2018/6/14,48.31,48.67,49.06,48.23,3842080,1
2018/6/15,48.71,47.81,48.9,47.76,4975818,1
2018/6/19,47.23,44.63,47.23,43.12,12066659,1
2018/6/20,44.1,45.04,45.86,44.1,5740406,1
2018/6/21,45.42,45.42,47,45.05,7677251,1
2018/6/22,45.47,46.49,46.89,45.17,6092285,1
2018/6/25,47.33,45.71,47.33,45.57,5786264,1
2018/6/26,45.64,46.02,46.76,44.87,6461250,1
2018/6/27,46.23,46.74,47.73,46.14,9626454,1
2018/6/28,46.74,45.66,47.08,45.46,6174760,1
2018/6/29,45.77,47.31,47.4,45.64,7555660,1
2018/7/2,47.3,45.63,47.3,45.5,6223568,1
2018/7/3,46.1,45,46.36,43.72,9382404,1
2018/7/4,45,45.44,45.78,44.65,6391041,1
2018/7/5,45.44,45.23,46.53,45.05,5616907,1
2018/7/6,45.91,45.68,46.4,45.17,6833719,1
2018/7/9,46.03,46.16,46.59,45.56,7345783,1
2018/7/10,46.19,46.27,46.52,45.95,4674977,1
2018/7/11,45.27,45.11,45.68,44.39,5113544,1
2018/7/12,45.45,46.16,46.64,45.33,7015634,1
2018/7/13,46.26,45.6,46.26,45.45,5369628,1
2018/7/16,44.46,43.61,44.46,42.47,12600142,1
2018/7/17,43.13,43.22,43.56,42.45,6993273,1
2018/7/18,43.22,42.97,43.9,42.89,4522201,1
2018/7/19,43.25,41.83,43.25,41.66,6235609,1
2018/7/20,42.17,42.58,42.83,41.84,5737549,1
2018/7/23,42.36,43.17,43.51,42.18,5234328,1
2018/7/24,43.36,43.95,44.09,43.08,5590943,1
2018/7/25,44.2,43.71,44.2,43.36,6525000,1
2018/7/26,43.71,42.67,43.89,42.55,5219121,1
2018/7/27,42.69,42.66,43.01,42.39,3707449,1
2018/7/30,42.62,42.17,42.77,41.53,5636289,1
2018/7/31,42.21,41.92,42.21,41.72,3044556,1
2018/8/1,42.49,41.66,42.64,41.56,4463476,1
2018/8/2,41.63,39.79,41.66,39.2,10881655,1
2018/8/3,39.97,38.04,40.17,37.91,9726311,1
2018/8/6,38.04,37,38.35,36.6,7435955,1
2018/8/7,37.39,37.71,37.71,36.45,6869256,1
2018/8/8,37.73,38,39.19,37.73,7363532,1
2018/8/9,37.6,38.95,39.25,37.54,7545532,1
2018/8/10,39.1,41.37,41.45,39.1,10438571,1
2018/8/13,40.78,42.84,43.22,40.57,13335562,1
2018/8/14,42.84,42.82,43.61,42.28,8262543,1
2018/8/15,42.67,41.81,43.56,41.46,9958800,1
2018/8/16,41.13,41.94,42.87,40.92,7461094,1
2018/8/17,42.75,42.25,42.8,41.81,5773346,1
2018/8/20,42.77,45.03,45.13,42.7,14791855,1
2018/8/21,45.04,44.69,45.36,44.19,9892868,1
2018/8/22,45.33,44.58,45.59,43.95,9131371,1
2018/8/23,44.61,44.11,45.18,43.41,8371388,1
2018/8/24,44.14,43.24,44.14,42.62,7868261,1
2018/8/27,43.23,44.8,45.04,43.17,8805861,1
2018/8/28,44.84,45.37,45.93,44.71,8132846,1
2018/8/29,45.19,46.08,46.6,45.19,9188404,1
2018/8/30,45.28,44.79,46.2,44.43,9167567,1
2018/8/31,44.21,44.25,44.67,43.69,6721700,1
2018/9/3,44.18,43.46,44.18,42.93,5634746,1
2018/9/4,43.68,44.31,44.37,43.4,5985814,1
2018/9/5,43.87,42.3,44.3,42.3,8325001,1
2018/9/6,42.3,42.4,43,41.85,4713942,1
2018/9/7,43.08,42.62,43.87,42.45,6909237,1
2018/9/10,42.78,41.53,43.23,40.95,5318539,1
2018/9/11,41.35,41.32,41.66,40.72,3539096,1
2018/9/12,40.82,41.84,42.3,40.52,5614215,1
2018/9/13,42.51,42.72,42.85,41.89,5571250,1
2018/9/14,44,44.6,45.23,44,10583891,1
2018/9/17,43.79,44.6,45.24,43.29,8560078,1
2018/9/18,43.96,44.87,45.13,43.84,6845006,1
2018/9/19,44.89,46.74,47.16,44.49,13063067,1
2018/9/20,46.74,45.73,47.27,45.73,8241611,1
2018/9/21,47.27,46.79,48.52,46.38,16318618,1
2018/9/25,47.08,47.97,48.42,47.08,10293516,1
2018/9/26,48.43,48.03,48.72,47.55,10015676,1
2018/9/27,48.27,47.57,48.37,47.27,6307334,1
2018/9/28,47.77,48.87,49.05,47.67,7723740,1
2018/10/8,46.78,46.33,47.72,46.2,11191976,1
2018/10/9,46.39,46.87,47.37,46.39,4182135,1
2018/10/10,47.13,45.69,47.33,45.23,8863578,1
2018/10/11,44.2,42.62,44.97,42.47,12036616,1
2018/10/12,43.01,46.2,46.58,43.01,12982073,1
